Episode,Reward,Smoothed
0,-1,
1,-1,
2,1,
3,0,
4,0,
5,0,
6,-1,
7,-1,
8,2,
9,-1,-0.2
10,-1,-0.2
11,-1,-0.2
12,0,-0.3
13,0,-0.3
14,-1,-0.4
15,0,-0.4
16,2,-0.1
17,0,0.0
18,2,0.0
19,1,0.2
20,-1,0.2
21,0,0.3
22,2,0.5
23,1,0.6
24,1,0.8
25,0,0.8
26,0,0.6
27,1,0.7
28,-1,0.4
29,-1,0.2
30,2,0.5
31,-1,0.4
32,1,0.3
33,1,0.3
34,1,0.3
35,-1,0.2
36,2,0.4
37,-1,0.2
38,2,0.5
39,-1,0.5
40,1,0.4
41,1,0.6
42,0,0.5
43,-1,0.3
44,-1,0.1
45,0,0.2
46,1,0.1
47,-1,0.1
48,0,-0.1
49,-1,-0.1
50,3,0.1
51,2,0.2
52,3,0.5
53,2,0.8
54,1,1.0
55,2,1.2
56,2,1.3
57,1,1.5
58,2,1.7
59,0,1.8
60,4,1.9
61,1,1.8
62,4,1.9
63,1,1.8
64,1,1.8
65,3,1.9
66,3,2.0
67,2,2.1
68,4,2.3
69,1,2.4
70,2,2.2
71,0,2.1
72,1,1.8
73,0,1.7
74,2,1.8
75,3,1.8
76,2,1.7
77,0,1.5
78,1,1.2
79,4,1.5
80,2,1.5
81,1,1.6
82,3,1.8
83,3,2.1
84,3,2.2
85,1,2.0
86,2,2.0
87,1,2.1
88,1,2.1
89,4,2.1
90,4,2.3
91,2,2.4
92,4,2.5
93,3,2.5
94,4,2.6
95,3,2.8
96,2,2.8
97,1,2.8
98,1,2.8
99,4,2.8
100,3,2.7
101,0,2.5
102,0,2.1
103,0,1.8
104,1,1.5
105,1,1.3
106,3,1.4
107,4,1.7
108,0,1.6
109,3,1.5
110,3,1.5
111,4,1.9
112,3,2.2
113,4,2.6
114,2,2.7
115,4,3.0
116,0,2.7
117,0,2.3
118,4,2.7
119,2,2.6
120,2,2.5
121,0,2.1
122,2,2.0
123,3,1.9
124,1,1.8
125,3,1.7
126,0,1.7
127,2,1.9
128,4,1.9
129,1,1.8
130,4,2.0
131,0,2.0
132,2,2.0
133,4,2.1
134,4,2.4
135,1,2.2
136,1,2.3
137,2,2.3
138,1,2.0
139,4,2.3
140,4,2.3
141,0,2.3
142,4,2.5
143,2,2.3
144,3,2.2
145,0,2.1
146,0,2.0
147,2,2.0
148,2,2.1
149,1,1.8
150,1,1.5
151,2,1.7
152,5,1.8
153,1,1.7
154,1,1.5
155,6,2.1
156,4,2.5
157,1,2.4
158,5,2.7
159,2,2.8
160,2,2.9
161,6,3.3
162,4,3.2
163,5,3.6
164,2,3.7
165,3,3.4
166,5,3.5
167,5,3.9
168,4,3.8
169,2,3.8
170,5,4.1
171,6,4.1
172,6,4.3
173,2,4.0
174,6,4.4
175,3,4.4
176,4,4.3
177,6,4.4
178,6,4.6
179,3,4.7
180,4,4.6
181,5,4.5
182,4,4.3
183,1,4.2
184,2,3.8
185,2,3.7
186,1,3.4
187,3,3.1
188,1,2.6
189,5,2.8
190,5,2.9
191,2,2.6
192,5,2.7
193,2,2.8
194,1,2.7
195,1,2.6
196,6,3.1
197,6,3.4
198,1,3.4
199,2,3.1
200,1,2.7
201,1,2.6
202,3,2.4
203,1,2.3
204,5,2.7
205,2,2.8
206,3,2.5
207,6,2.5
208,4,2.8
209,2,2.8
210,5,3.2
211,2,3.3
212,6,3.6
213,5,4.0
214,5,4.0
215,4,4.2
216,2,4.1
217,4,3.9
218,4,3.9
219,2,3.9
220,1,3.5
221,1,3.4
222,6,3.4
223,4,3.3
224,3,3.1
225,4,3.1
226,4,3.3
227,4,3.3
228,6,3.5
229,1,3.4
230,6,3.9
231,6,4.4
232,6,4.4
233,1,4.1
234,1,3.9
235,4,3.9
236,6,4.1
237,3,4.0
238,1,3.5
239,2,3.6
240,2,3.2
241,2,2.8
242,5,2.7
243,4,3.0
244,2,3.1
245,4,3.1
246,2,2.7
247,3,2.7
248,4,3.0
249,2,3.0
250,1,2.9
251,4,3.1
252,5,3.1
253,1,2.8
254,1,2.7
255,6,2.9
256,5,3.2
257,1,3.0
258,1,2.7
259,2,2.7
260,2,2.8
261,4,2.8
262,4,2.7
263,4,3.0
264,2,3.1
265,4,2.9
266,1,2.5
267,2,2.6
268,4,2.9
269,1,2.8
270,4,3.0
271,3,2.9
272,4,2.9
273,3,2.8
274,4,3.0
275,6,3.2
276,6,3.7
277,5,4.0
278,6,4.2
279,6,4.7
280,4,4.7
281,2,4.6
282,2,4.4
283,3,4.4
284,2,4.2
285,1,3.7
286,5,3.6
287,6,3.7
288,5,3.6
289,1,3.1
290,6,3.3
291,3,3.4
292,1,3.3
293,1,3.1
294,5,3.4
295,4,3.7
296,5,3.7
297,5,3.6
298,2,3.3
299,1,3.3
300,3,3.0
301,4,3.1
302,3,3.3
303,3,3.5
304,5,3.5
305,8,3.9
306,3,3.7
307,5,3.7
308,2,3.7
309,3,3.9
310,8,4.4
311,7,4.7
312,6,5.0
313,5,5.2
314,7,5.4
315,5,5.1
316,6,5.4
317,8,5.7
318,4,5.9
319,6,6.2
320,9,6.3
321,7,6.3
322,3,6.0
323,2,5.7
324,9,5.9
325,3,5.7
326,3,5.4
327,5,5.1
328,6,5.3
329,4,5.1
330,7,4.9
331,3,4.5
332,5,4.7
333,7,5.2
334,6,4.9
335,4,5.0
336,9,5.6
337,6,5.7
338,2,5.3
339,6,5.5
340,3,5.1
341,4,5.2
342,6,5.3
343,3,4.9
344,3,4.6
345,4,4.6
346,6,4.3
347,6,4.3
348,5,4.6
349,7,4.7
350,5,4.9
351,6,5.1
352,9,5.4
353,6,5.7
354,2,5.6
355,3,5.5
356,8,5.7
357,6,5.7
358,2,5.4
359,2,4.9
360,7,5.1
361,4,4.9
362,6,4.6
363,4,4.4
364,9,5.1
365,8,5.6
366,2,5.0
367,3,4.7
368,3,4.8
369,4,5.0
370,2,4.5
371,7,4.8
372,4,4.6
373,8,5.0
374,4,4.5
375,2,3.9
376,6,4.3
377,7,4.7
378,2,4.6
379,7,4.9
380,5,5.2
381,5,5.0
382,3,4.9
383,7,4.8
384,8,5.2
385,4,5.4
386,5,5.3
387,4,5.0
388,4,5.2
389,8,5.3
390,2,5.0
391,4,4.9
392,7,5.3
393,8,5.4
394,5,5.1
395,6,5.3
396,4,5.2
397,3,5.1
398,8,5.5
399,2,4.9
400,9,5.6
401,5,5.7
402,5,5.5
403,9,5.6
404,7,5.8
405,6,5.8
406,5,5.9
407,5,6.1
408,2,5.5
409,5,5.8
410,8,5.7
411,7,5.9
412,6,6.0
413,3,5.4
414,6,5.3
415,7,5.4
416,8,5.7
417,7,5.9
418,2,5.9
419,3,5.7
420,6,5.5
421,4,5.2
422,6,5.2
423,2,5.1
424,3,4.8
425,8,4.9
426,7,4.8
427,7,4.8
428,8,5.4
429,3,5.4
430,8,5.6
431,5,5.7
432,6,5.7
433,2,5.7
434,8,6.2
435,2,5.6
436,5,5.4
437,7,5.4
438,8,5.4
439,3,5.4
440,7,5.3
441,7,5.5
442,3,5.2
443,6,5.6
444,6,5.4
445,8,6.0
446,7,6.2
447,8,6.3
448,6,6.1
449,4,6.2
450,8,6.3
451,11,6.7
452,11,7.5
453,7,7.6
454,9,7.9
455,11,8.2
456,5,8.0
457,9,8.1
458,9,8.4
459,8,8.8
460,11,9.1
461,10,9.0
462,12,9.1
463,12,9.6
464,12,9.9
465,8,9.6
466,12,10.3
467,7,10.1
468,6,9.8
469,9,9.9
470,10,9.8
471,6,9.4
472,8,9.0
473,9,8.7
474,8,8.3
475,8,8.3
476,7,7.8
477,5,7.6
478,5,7.5
479,8,7.4
480,12,7.6
481,6,7.6
482,12,8.0
483,11,8.2
484,8,8.2
485,11,8.5
486,12,9.0
487,11,9.6
488,8,9.9
489,7,9.8
490,5,9.1
491,6,9.1
492,11,9.0
493,8,8.7
494,7,8.6
495,12,8.7
496,5,8.0
497,8,7.7
498,6,7.5
499,12,8.0
500,7,8.2
501,12,8.8
502,10,8.7
503,12,9.1
504,11,9.5
505,12,9.5
506,7,9.7
507,12,10.1
508,12,10.7
509,9,10.4
510,8,10.5
511,9,10.2
512,12,10.4
513,8,10.0
514,9,9.8
515,12,9.8
516,6,9.7
517,9,9.4
518,8,9.0
519,9,9.0
520,10,9.2
521,10,9.3
522,6,8.7
523,7,8.6
524,7,8.4
525,8,8.0
526,11,8.5
527,7,8.3
528,8,8.3
529,6,8.0
530,11,8.1
531,11,8.2
532,10,8.6
533,12,9.1
534,11,9.5
535,5,9.2
536,8,8.9
537,11,9.3
538,11,9.6
539,5,9.5
540,11,9.5
541,12,9.6
542,5,9.1
543,10,8.9
544,9,8.7
545,11,9.3
546,11,9.6
547,8,9.3
548,12,9.4
549,8,9.7
550,9,9.5
551,11,9.4
552,12,10.1
553,5,9.6
554,11,9.8
555,10,9.7
556,11,9.7
557,7,9.6
558,12,9.6
559,7,9.5
560,5,9.1
561,11,9.1
562,5,8.4
563,6,8.5
564,11,8.5
565,7,8.2
566,12,8.3
567,7,8.3
568,5,7.6
569,9,7.8
570,11,8.4
571,10,8.3
572,8,8.6
573,12,9.2
574,10,9.1
575,10,9.4
576,11,9.3
577,9,9.5
578,11,10.1
579,9,10.1
580,6,9.6
581,12,9.8
582,5,9.5
583,5,8.8
584,10,8.8
585,8,8.6
586,6,8.1
587,5,7.7
588,5,7.1
589,8,7.0
590,8,7.2
591,5,6.5
592,7,6.7
593,8,7.0
594,7,6.7
595,12,7.1
596,6,7.1
597,8,7.4
598,12,8.1
599,9,8.2
